REGIONID,PORTFOLIO,STATIONNAME,DUID,FUEL,TransmissionLossFactor,CAPACITY,STARTDATE,ENDDATE
SA1,South Australian Water Corporation,Happy Valley Water Treatment Plant PV1,HVWWPV1,Solar,1.0024,8,2022-04-20T00:00:00,2999-12-31T00:00:00
SA1,South Australian Water Corporation,Mannum-Adelaide Pipeline Pumping Station No 2,MAPS2PV1,Solar,1.0257,13,2021-08-10T00:00:00,2999-12-31T00:00:00
SA1,South Australian Water Corporation,Mannum-Adelaide Pipeline Pumping Station No 3,MAPS3PV1,Solar,1.0252,12,2022-04-12T00:00:00,2999-12-31T00:00:00
SA1,South Australian Water Corporation,MBO Pipeline Pumping Station No 2,MBPS2PV1,Solar,1.0127,10,2022-01-11T00:00:00,2999-12-31T00:00:00
SA1,South Australian Water Corporation,Morgan-Whyalla Pipeline Pumping Station No 1,MWPS1PV1,Solar,1.0146,4,2021-02-09T00:00:00,2999-12-31T00:00:00
SA1,South Australian Water Corporation,Morgan-Whyalla Pipeline Pumping Station No 2,MWPS2PV1,Solar,1.003,4,2021-02-09T00:00:00,2999-12-31T00:00:00
SA1,South Australian Water Corporation,Morgan-Whyalla Pipeline Pumping Station No 3,MWPS3PV1,Solar,0.9897,6,2020-10-26T00:00:00,2999-12-31T00:00:00
SA1,South Australian Water Corporation,Morgan-Whyalla Pipeline Pumping Station No 4,MWPS4PV1,Solar,0.9837,4,2021-02-02T00:00:00,2999-12-31T00:00:00
SA1,Tilt Renewables,Snowtown Wind Farm Units 1 And 47,SNOWTWN1,Wind,0.9157,99,2008-01-10T00:00:00,2999-12-31T00:00:00
SA1,Vena Energy Services (Aus),Tailem Bend 2 Hybrid Renewable Power Station,TB2B1,Battery,0.9945,41,2024-11-21T00:00:00,2999-12-31T00:00:00
SA1,Vena Energy Services (Aus),Tailem Bend 2 Hybrid Renewable Power Station,TB2BG1,Battery,1.0102,41,2023-02-28T00:00:00,2024-12-11T00:00:00
SA1,Vena Energy Services (Aus),Tailem Bend 2 Hybrid Renewable Power Station,TB2SF1,Solar,0.9945,87,2023-02-28T00:00:00,2999-12-31T00:00:00
SA1,Vena Energy Services (Aus),Tailem Bend Solar Project 1,TBSF1,Solar,0.9952,95,2019-02-05T00:00:00,2999-12-31T00:00:00
SA1,Willogoleche Power,Willogoleche Wind Farm,WGWF1,Wind,0.9601,119,2018-07-24T00:00:00,2999-12-31T00:00:00
SA1,Zen Energy,Templers Battery Energy Storage System,TEMPB1,Battery,0.9856,111,2025-05-20T00:00:00,2999-12-31T00:00:00
SNOWY1,Snowy Hydro,Snowy,SNOWY1,Hydro,1.001,3756,1998-10-25T00:00:00,2001-09-24T00:00:00
SNOWY1,Snowy Hydro,Snowy,SNOWY2,Hydro,1.001,3756,1998-10-25T00:00:00,2001-09-24T00:00:00
SNOWY1,Snowy Hydro,Snowy,SNOWY3,Hydro,1.001,3756,1998-10-25T00:00:00,2001-09-24T00:00:00
SNOWY1,Snowy Hydro,Snowy,SNOWY4,Hydro,1.001,3756,1998-10-25T00:00:00,2001-09-24T00:00:00
SNOWY1,Snowy Hydro,Snowy,SNOWY5,Hydro,1.001,3756,1998-10-25T00:00:00,2001-09-24T00:00:00
SNOWY1,Snowy Hydro,Snowy,SNOWY6,Hydro,1.001,100,1998-10-25T00:00:00,2001-09-24T00:00:00
SNOWY1,Snowy Hydro,Snowy,TUMUT3-1,Hydro,1.0112,250,1998-11-29T00:00:00,2008-07-01T00:00:00
SNOWY1,Snowy Hydro,Snowy,TUMUT3-2,Hydro,1.0112,250,1998-11-29T00:00:00,2008-07-01T00:00:00
SNOWY1,Snowy Hydro,Snowy,TUMUT3-3,Hydro,1.0112,250,1998-11-29T00:00:00,2008-07-01T00:00:00
SNOWY1,Snowy Hydro,Snowy,TUMUT3-4,Hydro,1.0112,250,1998-11-29T00:00:00,2008-07-01T00:00:00
SNOWY1,Snowy Hydro,Snowy,TUMUT3-5,Hydro,1.0112,250,1998-11-29T00:00:00,2008-07-01T00:00:00
SNOWY1,Snowy Hydro,Snowy,TUMUT3-6,Hydro,1.0112,250,1998-11-29T00:00:00,2008-07-01T00:00:00
TAS1,Aurora Energy,Bell Bay Three Power Station,BBTHREE1,Gas,0.9986,49,2006-06-08T00:00:00,2999-12-31T00:00:00
TAS1,Aurora Energy,Bell Bay Three Power Station,BBTHREE2,Gas,0.9986,49,2006-06-08T00:00:00,2999-12-31T00:00:00
TAS1,Aurora Energy,Bell Bay Three Power Station,BBTHREE3,Gas,0.9986,49,2006-06-08T00:00:00,2999-12-31T00:00:00
TAS1,Aurora Energy,Bell Bay Three Power Station,TVPP104,Gas,0.9986,58,2009-03-31T00:00:00,2999-12-31T00:00:00
TAS1,Aurora Energy,Tamar Valley Combined Cycle,TVCC201,Gas,1,208,2009-06-15T00:00:00,2999-12-31T00:00:00
TAS1,Goldwind Australia,Cattle Hill Wind Farm,CTHLWF1,Wind,0.9924,144,2020-01-07T00:00:00,2999-12-31T00:00:00
TAS1,Hydro Tas,Bastyan,BASTYAN,Hydro,0.934,88,2005-05-16T00:00:00,2999-12-31T00:00:00
TAS1,Hydro Tas,Bell Bay Power Station,BELLBAY1,Gas,0.9929,120,2005-05-16T00:00:00,2012-06-30T00:00:00
TAS1,Hydro Tas,Bell Bay Power Station,BELLBAY2,Gas,0.9929,120,2005-05-16T00:00:00,2012-06-30T00:00:00
TAS1,Hydro Tas,Cethana,CETHANA,Hydro,0.9473,100,2005-05-16T00:00:00,2999-12-31T00:00:00
TAS1,Hydro Tas,Devils Gate,DEVILS_G,Hydro,0.9616,67,2005-05-16T00:00:00,2999-12-31T00:00:00
TAS1,Hydro Tas,Fisher,FISHER,Hydro,0.9533,46,2005-05-16T00:00:00,2999-12-31T00:00:00
TAS1,Hydro Tas,Gordon,GORDON,Hydro,0.9594,450,2005-05-16T00:00:00,2999-12-31T00:00:00
TAS1,Hydro Tas,John Butters,JBUTTERS,Hydro,0.9386,144,2005-05-16T00:00:00,2999-12-31T00:00:00
TAS1,Hydro Tas,Lake Echo,LK_ECHO,Hydro,0.9314,34,2005-05-16T00:00:00,2999-12-31T00:00:00
TAS1,Hydro Tas,Lemonthyme_Wilmot,LEM_WIL,Hydro,0.9676,87,2005-05-16T00:00:00,2999-12-31T00:00:00
TAS1,Hydro Tas,Liapootah_Wayatinah_Catagunya,LI_WY_CA,Hydro,0.9855,192,2005-05-16T00:00:00,2999-12-31T00:00:00
TAS1,Hydro Tas,Mackintosh,MACKNTSH,Hydro,0.92,89,2005-05-16T00:00:00,2999-12-31T00:00:00
TAS1,Hydro Tas,Meadowbank,MEADOWBK,Hydro,0.9811,44,2005-05-16T00:00:00,2999-12-31T00:00:00
TAS1,Hydro Tas,Musselroe Wind Farm,MUSSELR1,Wind,0.9101,168,2013-03-11T00:00:00,2999-12-31T00:00:00
TAS1,Hydro Tas,Poatina,POAT110,Hydro,0.9763,124,2005-05-16T00:00:00,2999-12-31T00:00:00
TAS1,Hydro Tas,Poatina,POAT220,Hydro,0.9845,248,2005-05-16T00:00:00,2999-12-31T00:00:00
TAS1,Hydro Tas,Reece,REECE1,Hydro,0.9203,119,2005-05-16T00:00:00,2999-12-31T00:00:00
TAS1,Hydro Tas,Reece,REECE2,Hydro,0.9187,119,2005-05-16T00:00:00,2999-12-31T00:00:00
TAS1,Hydro Tas,Tarraleah,TARRALEA,Hydro,0.9419,94,2005-05-16T00:00:00,2999-12-31T00:00:00
TAS1,Hydro Tas,Trevallyn,TREVALLN,Hydro,0.9852,107,2005-05-16T00:00:00,2999-12-31T00:00:00
TAS1,Hydro Tas,Tribute,TRIBUTE,Hydro,0.9265,92,2005-05-16T00:00:00,2999-12-31T00:00:00
TAS1,Hydro Tas,Tungatinah,TUNGATIN,Hydro,0.9061,142,2005-05-16T00:00:00,2999-12-31T00:00:00
TAS1,Palisade,Granville Harbour Wind Farm,GRANWF1,Wind,0.9555,110,2019-12-03T00:00:00,2999-12-31T00:00:00
VIC1,Acciona,Mortlake South Wind Farm,MRTLSWF1,Wind,0.9525,153,2022-06-28T00:00:00,2999-12-31T00:00:00
VIC1,Acciona,Mt Gellibrand Wind Farm,MTGELWF1,Wind,0.9879,132,2018-06-01T00:00:00,2999-12-31T00:00:00
VIC1,AGL,Bogong_Mackay,MCKAY1,Hydro,0.9828,300,1998-10-25T00:00:00,2999-12-31T00:00:00
VIC1,AGL,Dartmouth,DARTM1,Hydro,0.9729,185,1998-10-25T00:00:00,2999-12-31T00:00:00
VIC1,AGL,Eildon,EILDON1,Hydro,0.9945,60,1998-10-25T00:00:00,2999-12-31T00:00:00
VIC1,AGL,Eildon,EILDON2,Hydro,0.9945,60,1998-10-25T00:00:00,2999-12-31T00:00:00
VIC1,AGL,Loy Yang A,LYA1,Brown Coal,0.9815,590,1998-10-25T00:00:00,2999-12-31T00:00:00
VIC1,AGL,Loy Yang A,LYA2,Brown Coal,0.9815,535,1998-10-25T00:00:00,2999-12-31T00:00:00
VIC1,AGL,Loy Yang A,LYA3,Brown Coal,0.9815,590,1998-10-25T00:00:00,2999-12-31T00:00:00
VIC1,AGL,Loy Yang A,LYA4,Brown Coal,0.9815,580,1998-10-25T00:00:00,2999-12-31T00:00:00
VIC1,AGL,Macarthur Wind Farm,MACARTH1,Wind,0.9829,420,2012-08-21T00:00:00,2999-12-31T00:00:00
VIC1,AGL,McKay,MCKAY2,Hydro,0.9962,60,1998-10-25T00:00:00,2012-06-30T00:00:00
VIC1,AGL,Oaklands Hill Wind Farm,OAKLAND1,Wind,1.0018,63,2011-08-05T00:00:00,2999-12-31T00:00:00
VIC1,AGL,Somerton,AGLSOM,Gas,0.9965,170,2002-01-10T00:00:00,2999-12-31T00:00:00
VIC1,AGL,West Kiewa,WKIEWA1,Hydro,1.0038,34,1998-10-25T00:00:00,2999-12-31T00:00:00
VIC1,AGL,West Kiewa,WKIEWA2,Hydro,1.0038,34,1998-10-25T00:00:00,2999-12-31T00:00:00
VIC1,Alinta Energy,Bald Hills Wind Farm,BALDHWF1,Wind,0.9862,106,2015-01-29T00:00:00,2999-12-31T00:00:00
VIC1,Alinta Energy,Bannerton Solar Park,BANN1,Solar,0.8986,88,2018-07-11T00:00:00,2999-12-31T00:00:00
VIC1,Alinta Energy,Loy Yang B,LOYYB1,Brown Coal,0.9815,600,1998-10-25T00:00:00,2999-12-31T00:00:00
VIC1,Alinta Energy,Loy Yang B,LOYYB2,Brown Coal,0.9815,600,1998-10-25T00:00:00,2999-12-31T00:00:00
VIC1,Ararat Wind Farm,Ararat Wind Farm,ARWF1,Wind,0.9031,241,2016-07-01T00:00:00,2999-12-31T00:00:00
VIC1,Atmos Renewables,Elaine Wind Farm,ELAINWF1,Wind,0.9569,82,2020-04-07T00:00:00,2999-12-31T00:00:00
VIC1,Atmos Renewables,Yendon Wind Farm,YENDWF1,Wind,0.9537,142,2019-06-19T00:00:00,2999-12-31T00:00:00
VIC1,Aurora Energy,Bairnsdale,BDL01,Gas,0.9816,48,2001-05-08T00:00:00,2999-12-31T00:00:00
VIC1,Aurora Energy,Bairnsdale,BDL02,Gas,0.9816,48,2001-12-13T00:00:00,2999-12-31T00:00:00
VIC1,Enel Green Power,Cohuna Solar Farm,COHUNSF1,Solar,0.9305,27,2020-12-22T00:00:00,2999-12-31T00:00:00
VIC1,Enel Green Power,Girgarre Solar Farm,GIRGSF,Solar,0.9463,76,2024-07-16T00:00:00,2999-12-31T00:00:00
VIC1,Energy Australia,Ballarat Battery Energy Storage System,BALB1,Battery,0.9809,30,2024-07-18T00:00:00,2999-12-31T00:00:00
VIC1,Energy Australia,Ballarat Battery Energy Storage System,BALBG1,Battery,0.9713,30,2018-11-06T00:00:00,2024-08-14T00:00:00
VIC1,Energy Australia,Gannawarra Energy Storage System,GANNB1,Battery,1.0227,25,2024-07-18T00:00:00,2999-12-31T00:00:00
VIC1,Energy Australia,Gannawarra Energy Storage System,GANNBG1,Battery,1.0155,25,2018-11-07T00:00:00,2024-08-14T00:00:00
VIC1,Energy Australia,Gannawarra Solar Farm,GANNSF1,Solar,0.9305,50,2018-03-20T00:00:00,2999-12-31T00:00:00
VIC1,Energy Australia,Jeeralang A,JLA01,Gas,0.9768,65,1998-10-25T00:00:00,2999-12-31T00:00:00
VIC1,Energy Australia,Jeeralang A,JLA02,Gas,0.9768,65,1998-10-25T00:00:00,2999-12-31T00:00:00
VIC1,Energy Australia,Jeeralang A,JLA03,Gas,0.9768,65,1998-10-25T00:00:00,2999-12-31T00:00:00
VIC1,Energy Australia,Jeeralang A,JLA04,Gas,0.9768,65,1998-10-25T00:00:00,2999-12-31T00:00:00
VIC1,Energy Australia,Jeeralang B,JLB01,Gas,0.9768,100,1998-10-25T00:00:00,2999-12-31T00:00:00
VIC1,Energy Australia,Jeeralang B,JLB02,Gas,0.9768,100,1998-10-25T00:00:00,2999-12-31T00:00:00
VIC1,Energy Australia,Jeeralang B,JLB03,Gas,0.9768,100,1998-10-25T00:00:00,2999-12-31T00:00:00
VIC1,Energy Australia,Newport,NPS,Gas,0.9943,510,1998-10-25T00:00:00,2999-12-31T00:00:00
VIC1,Energy Australia,Yallourn,YWPS1,Brown Coal,0.9674,395,1998-10-25T00:00:00,2999-12-31T00:00:00
VIC1,Energy Australia,Yallourn,YWPS2,Brown Coal,0.9599,395,1998-10-25T00:00:00,2999-12-31T00:00:00
VIC1,Energy Australia,Yallourn,YWPS3,Brown Coal,0.9599,405,1998-10-25T00:00:00,2999-12-31T00:00:00
VIC1,Energy Australia,Yallourn,YWPS4,Brown Coal,0.9599,405,1998-10-25T00:00:00,2999-12-31T00:00:00
VIC1,Energy Brix,Energy Brix Complex,MOR1,Brown Coal,0.9713,90,1998-10-25T00:00:00,2016-03-11T00:00:00
VIC1,Energy Brix,Energy Brix Complex,MOR2,Brown Coal,0.9619,30,1998-10-25T00:00:00,2016-03-11T00:00:00
VIC1,Energy Brix,Energy Brix Complex,MOR3,Brown Coal,0.9619,75,1998-10-25T00:00:00,2016-03-11T00:00:00
VIC1,ENGIE,Hazelwood,HWPS1,Brown Coal,0.9685,220,1998-10-25T00:00:00,2017-04-01T00:00:00
VIC1,ENGIE,Hazelwood,HWPS2,Brown Coal,0.9685,220,1998-10-25T00:00:00,2017-04-01T00:00:00
VIC1,ENGIE,Hazelwood,HWPS3,Brown Coal,0.9685,220,1998-10-25T00:00:00,2017-04-01T00:00:00
VIC1,ENGIE,Hazelwood,HWPS4,Brown Coal,0.9685,220,1998-10-25T00:00:00,2017-04-01T00:00:00
VIC1,ENGIE,Hazelwood,HWPS5,Brown Coal,0.9685,220,1998-10-25T00:00:00,2017-04-01T00:00:00
VIC1,ENGIE,Hazelwood,HWPS6,Brown Coal,0.9685,220,1998-10-25T00:00:00,2017-04-01T00:00:00
VIC1,ENGIE,Hazelwood,HWPS7,Brown Coal,0.9685,220,1998-10-25T00:00:00,2017-04-01T00:00:00
VIC1,ENGIE,Hazelwood,HWPS8,Brown Coal,0.9685,220,1998-10-25T00:00:00,2017-04-01T00:00:00
VIC1,ENGIE,Hazelwood Battery Energy Storage System,HBESS1,Battery,0.9802,150,2024-08-15T00:00:00,2999-12-31T00:00:00
VIC1,ENGIE,Hazelwood Battery Energy Storage System,HBESSG1,Battery,0.9804,150,2023-02-07T00:00:00,2024-09-04T00:00:00
VIC1,Equis Energy (Aust),Melbourne Renewable Energy Hub Connection A1,MREHA1,Battery,0.993,200,2025-06-17T00:00:00,2999-12-31T00:00:00
VIC1,Equis Energy (Aust),Melbourne Renewable Energy Hub Connection A2,MREHA2,Battery,0.993,200,2025-06-24T00:00:00,2999-12-31T00:00:00
VIC1,Eraring Energy,Hume VIC,HUMEV,Hydro,0.9586,70,1998-10-25T00:00:00,2999-12-31T00:00:00
VIC1,European Energy,Mokoan Solar Farm,MOKOSF1,Solar,0.9415,46,2024-11-26T00:00:00,2999-12-31T00:00:00
VIC1,Flow Power,Karadoc Solar Farm,KARSF1,Solar,0.8895,90,2018-10-09T00:00:00,2999-12-31T00:00:00
VIC1,FRV,Winton Solar Farm,WINTSF1,Solar,0.9402,85,2021-03-30T00:00:00,2999-12-31T00:00:00
VIC1,Glenrowan Solar Farm,Glenrowan Solar Farm,GLENSF1,Solar,0.949,102,2023-11-21T00:00:00,2999-12-31T00:00:00
VIC1,Glenrowan Sun Farm,Glenrowan West Solar Farm,GLRWNSF1,Solar,0.9402,110,2020-12-22T00:00:00,2999-12-31T00:00:00
VIC1,Global Power Generation,Berrybank 1 Wind Farm,BRYB1WF1,Wind,0.9465,175,2021-02-16T00:00:00,2999-12-31T00:00:00
VIC1,Global Power Generation,Berrybank 2 Wind Farm,BRYB2WF2,Wind,0.9465,105,2022-11-29T00:00:00,2999-12-31T00:00:00
VIC1,Global Power Generation,Hawkesdale Wind Farm,HD1WF1,Wind,0.9865,89,2024-05-31T00:00:00,2999-12-31T00:00:00
VIC1,Global Power Generation,Ryan Corner Wind Farm,RYANCWF1,Wind,0.9875,205,2024-07-30T00:00:00,2999-12-31T00:00:00
VIC1,Goldwind Australia,Moorabool Wind Farm,MOORAWF1,Wind,0.9569,305,2020-11-19T00:00:00,2999-12-31T00:00:00
VIC1,Iberdrola Australia Energy Markets,Cherry Tree Wind Farm,CHYTWF1,Wind,0.998,57,2020-04-28T00:00:00,2999-12-31T00:00:00
VIC1,Kerang Solar Plant,Kerang Solar Plant,KERNGSP1,Solar,0.9329,30,2024-12-10T00:00:00,2999-12-31T00:00:00
VIC1,Lightsource bp,Wunghnu Solar Farm,WUNUSF1,Solar,0.9463,75,2024-11-19T00:00:00,2999-12-31T00:00:00
VIC1,Meridian Energy,Mt Mercer Wind Farm,MERCER01,Wind,0.9569,131,2013-10-15T00:00:00,2999-12-31T00:00:00
VIC1,Mondo Power,Phillip Island BESS,PIBESS1,Battery,0.9862,5,2024-08-15T00:00:00,2999-12-31T00:00:00
VIC1,Mondo Power,Phillip Island BESS,PIBESSG1,Battery,0.9848,5,2023-04-12T00:00:00,2024-09-04T00:00:00
VIC1,NEOEN,Bulgana Green Power Hub,BULBES1,Battery,0.8907,20,2024-09-13T00:00:00,2999-12-31T00:00:00
VIC1,NEOEN,Bulgana Green Power Hub,BULBESG1,Battery,0.8733,20,2021-07-27T00:00:00,2024-10-09T00:00:00
VIC1,NEOEN,Bulgana Green Power Hub,BULGANA1,Wind,0.8907,204,2020-05-12T00:00:00,2999-12-31T00:00:00
VIC1,NEOEN,Numurkah Solar Farm,NUMURSF1,Solar,0.9463,100,2019-05-07T00:00:00,2999-12-31T00:00:00
VIC1,NEOEN,Victorian Big Battery,VBB1,Battery,0.9897,300,2024-09-13T00:00:00,2999-12-31T00:00:00
VIC1,NEOEN,Victorian Big Battery,VBBG1,Battery,0.9879,300,2021-07-27T00:00:00,2024-10-09T00:00:00
VIC1,Origin Energy,Mortlake,MORTLK11,Gas,0.9969,292,2011-08-01T00:00:00,2999-12-31T00:00:00
VIC1,Origin Energy,Mortlake,MORTLK12,Gas,0.9969,292,2011-08-01T00:00:00,2999-12-31T00:00:00
VIC1,Origin Energy,Stockyard Hill Wind Farm,STOCKYD1,Wind,0.9845,511,2021-07-08T00:00:00,2999-12-31T00:00:00
VIC1,Pacific Hydro,Crowlands Wind Farm,CROWLWF1,Wind,0.9004,79,2018-11-06T00:00:00,2999-12-31T00:00:00
VIC1,SECV,Angelsea,APS,Brown Coal,1.0135,160,1998-10-25T00:00:00,2015-09-01T00:00:00
VIC1,Shell Energy Retail,Koorangie Energy Storage System,KESSB1,Battery,1.003,185,2025-01-29T00:00:00,2999-12-31T00:00:00
VIC1,Shell Energy Retail,Rangebank BESS,RANGEB1,Battery,0.9908,200,2024-08-13T00:00:00,2999-12-31T00:00:00
VIC1,Snowy Hydro,Laverton North,LNGS1,Gas,0.9982,172,2015-07-01T00:00:00,2999-12-31T00:00:00
VIC1,Snowy Hydro,Laverton North,LNGS2,Gas,0.9982,172,2015-07-01T00:00:00,2999-12-31T00:00:00
VIC1,Snowy Hydro,Laverton North Power Station,LAVNORTH,Gas,0.998,342,2006-03-02T00:00:00,2013-01-01T00:00:00
VIC1,Snowy Hydro,Murray,MURRAY,Hydro,0.9819,1575,2001-06-22T00:00:00,2999-12-31T00:00:00
VIC1,Snowy Hydro,Valley Power,LYGS1,Gas,0.9639,65,2001-12-12T00:00:00,2002-02-15T00:00:00
VIC1,Snowy Hydro,Valley Power,LYGS2,Gas,0.9639,65,2001-12-12T00:00:00,2002-02-15T00:00:00
VIC1,Snowy Hydro,Valley Power,LYGS3,Gas,0.9639,65,2001-12-12T00:00:00,2002-02-15T00:00:00
VIC1,Snowy Hydro,Valley Power,LYGS4,Gas,0.9639,65,2001-12-12T00:00:00,2002-02-15T00:00:00
VIC1,Snowy Hydro,Valley Power,LYGS5,Gas,0.9639,65,2001-12-12T00:00:00,2002-02-15T00:00:00
VIC1,Snowy Hydro,Valley Power,LYGS6,Gas,0.9639,65,2001-12-12T00:00:00,2002-02-15T00:00:00
VIC1,Snowy Hydro,Valley Power,VPGS,Gas,0.9709,390,2006-01-31T00:00:00,2013-01-01T00:00:00
VIC1,Snowy Hydro,Valley Power Peaking Facility,VPGS1,Gas,0.9815,60,2002-05-15T00:00:00,2999-12-31T00:00:00
VIC1,Snowy Hydro,Valley Power Peaking Facility,VPGS2,Gas,0.9815,60,2002-05-15T00:00:00,2999-12-31T00:00:00
VIC1,Snowy Hydro,Valley Power Peaking Facility,VPGS3,Gas,0.9815,60,2002-05-15T00:00:00,2999-12-31T00:00:00
VIC1,Snowy Hydro,Valley Power Peaking Facility,VPGS4,Gas,0.9815,60,2002-05-15T00:00:00,2999-12-31T00:00:00
VIC1,Snowy Hydro,Valley Power Peaking Facility,VPGS5,Gas,0.9815,60,2002-05-15T00:00:00,2999-12-31T00:00:00
VIC1,Snowy Hydro,Valley Power Peaking Facility,VPGS6,Gas,0.9815,60,2002-05-15T00:00:00,2999-12-31T00:00:00
VIC1,Squadron Energy,Murra Warra Wind Farm,MUWAWF1,Wind,0.8817,225,2019-03-19T00:00:00,2999-12-31T00:00:00
VIC1,Squadron Energy,Murra Warra Wind Farm Stage 2,MUWAWF2,Wind,0.8817,203,2022-02-15T00:00:00,2999-12-31T00:00:00
VIC1,TagEnergy,Golden Plains Wind Farm East,GPWFEST1,Wind,0.9834,240,2024-08-06T00:00:00,2999-12-31T00:00:00
VIC1,TagEnergy,Golden Plains Wind Farm East,GPWFEST2,Wind,0.9834,253,2024-08-06T00:00:00,2999-12-31T00:00:00
VIC1,TagEnergy,Golden Plains Wind Farm East,GPWFEST3,Wind,0.9834,240,2024-08-06T00:00:00,2999-12-31T00:00:00
VIC1,Tilt Renewables,Dundonnell Wind Farm,DUNDWF1,Wind,0.9845,168,2020-03-10T00:00:00,2999-12-31T00:00:00
VIC1,Tilt Renewables,Dundonnell Wind Farm,DUNDWF2,Wind,0.9845,46,2020-03-10T00:00:00,2999-12-31T00:00:00
VIC1,Tilt Renewables,Dundonnell Wind Farm,DUNDWF3,Wind,0.9845,122,2020-03-10T00:00:00,2999-12-31T00:00:00
VIC1,Tilt Renewables,Latrobe Valley BESS,LVES1,Battery,0.9824,100,2025-04-08T00:00:00,2999-12-31T00:00:00
VIC1,Tilt Renewables,Salt Creek Wind Farm,SALTCRK1,Wind,0.9519,54,2018-05-29T00:00:00,2999-12-31T00:00:00
VIC1,Total EREN Group,Kiamal Solar Farm,KIAMSF1,Solar,0.8785,200,2020-09-01T00:00:00,2999-12-31T00:00:00
VIC1,Wemen Asset Co,Wemen Solar Farm,WEMENSF1,Solar,0.8986,88,2018-11-06T00:00:00,2999-12-31T00:00:00
VIC1,WindLab,Kiata Wind Farm,KIATAWF1,Wind,0.8959,31,2017-11-03T00:00:00,2999-12-31T00:00:00
VIC1,Yatpool Sun Farm,Yatpool Solar Farm,YATSF1,Solar,0.8895,81,2020-11-17T00:00:00,2999-12-31T00:00:00
