REGIONID,PORTFOLIO,STATIONNAME,DUID,FUEL,TransmissionLossFactor,CAPACITY,STARTDATE,ENDDATE
QLD1,FRV,Clare Solar Farm,CLARESF1,Solar,0.9363,100,2018-02-14T00:00:00,2999-12-31T00:00:00
QLD1,FRV,Lilyvale Solar Farm,LILYSF1,Solar,0.9379,100,2019-02-06T00:00:00,2999-12-31T00:00:00
QLD1,Genex,Bouldercombe Battery Project,BBATTERY,Battery,0.9166,50,2023-07-11T00:00:00,2024-10-23T00:00:00
QLD1,Genex,Bouldercombe Battery Project,BBATTERY1,Battery,0.9162,50,2024-10-04T00:00:00,2999-12-31T00:00:00
QLD1,Genex,Kidston Solar Project,KSP1,Solar,0.9516,47,2017-11-23T00:00:00,2999-12-31T00:00:00
QLD1,InterGen,Millmerran,MPP_1,Black Coal,0.98,435,2001-05-15T00:00:00,2999-12-31T00:00:00
QLD1,InterGen,Millmerran,MPP_2,Black Coal,0.98,435,2001-08-15T00:00:00,2999-12-31T00:00:00
QLD1,Kennedy Energy Park,Kennedy Energy Park Solar Farm,KEPSF1,Solar,0.9813,15,2021-06-22T00:00:00,2999-12-31T00:00:00
QLD1,Kennedy Energy Park,Kennedy Energy Park Wind Farm,KEPWF1,Wind,0.9813,43,2021-06-22T00:00:00,2999-12-31T00:00:00
QLD1,Kingaroy Propertyco,Kingaroy Solar Farm,KINGASF1,Solar,0.9795,40,2024-09-03T00:00:00,2999-12-31T00:00:00
QLD1,Lightsource bp,Woolooga Solar Farm,WOOLGSF1,Solar,0.9787,176,2022-05-24T00:00:00,2999-12-31T00:00:00
QLD1,Moura Solar Farm Spv,Moura Solar Farm,MOUSF1,Solar,0.9328,82,2022-10-18T00:00:00,2999-12-31T00:00:00
QLD1,NEOEN,Western Downs Battery Energy Storage System,WDBESS1,Battery,0.9708,255,2024-11-14T00:00:00,2999-12-31T00:00:00
QLD1,NEOEN,Western Downs Battery Energy Storage System,WDBESSG1,Battery,0.9556,200,2024-05-28T00:00:00,2024-12-04T00:00:00
QLD1,NEOEN,Western Downs GPH,WDGPH1,Solar,0.9767,400,2021-11-16T00:00:00,2999-12-31T00:00:00
QLD1,Origin Energy,Darling Downs,DDPS1,Gas,0.9667,663,2009-11-16T00:00:00,2999-12-31T00:00:00
QLD1,Origin Energy,Darling Downs Solar Farm,DDSF1,Solar,0.9849,108,2018-06-27T00:00:00,2999-12-31T00:00:00
QLD1,Origin Energy,Daydream Solar Farm,DAYDSF1,Solar,0.9396,150,2018-09-28T00:00:00,2999-12-31T00:00:00
QLD1,Origin Energy,Mt Stuart,MSTUART1,Other,0.9121,152,1998-10-25T00:00:00,2999-12-31T00:00:00
QLD1,Origin Energy,Mt Stuart,MSTUART2,Other,0.9121,152,1998-10-25T00:00:00,2999-12-31T00:00:00
QLD1,Origin Energy,Mt Stuart,MSTUART3,Other,0.9121,139,2009-10-15T00:00:00,2999-12-31T00:00:00
QLD1,Origin Energy,Roma,ROMA_7,Gas,0.9687,42,1999-01-30T00:00:00,2999-12-31T00:00:00
QLD1,Origin Energy,Roma,ROMA_8,Gas,0.9687,42,1999-01-30T00:00:00,2999-12-31T00:00:00
QLD1,Pacific Hydro,Haughton Solar Farm Stage 1,HAUGHT11,Solar,0.9475,100,2019-05-28T00:00:00,2999-12-31T00:00:00
QLD1,Palisade,Ross River Solar Farm,RRSF1,Solar,0.9516,116,2018-06-26T00:00:00,2999-12-31T00:00:00
QLD1,QGC,Condamine A,CPSA,Gas,0.9724,144,2009-06-02T00:00:00,2999-12-31T00:00:00
QLD1,QPM Energy Markets,Townsville Gas Turbine,YABULU,Gas,0.9508,174,1998-10-25T00:00:00,2999-12-31T00:00:00
QLD1,QPM Energy Markets,Townsville Gas Turbine,YABULU2,Gas,0.9734,84,2004-10-20T00:00:00,2999-12-31T00:00:00
