date,avg_available_mw,fuel_filtered
2026-07-28,44813.7,False
2026-08-03,18703.0,True
2026-08-03,18703.0,True
2026-08-03,18703.0,True
2026-08-20,19075.0,True
2026-08-22,18390.0,True
2026-08-25,18123.3,True
2026-08-27,17461.0,True
2026-08-28,17447.3,True
2026-08-29,17437.6,True
2026-08-30,17538.9,True
2026-08-31,17640.1,True
2026-09-01,17857.3,True
2026-09-02,17833.0,True
2026-09-03,17508.4,True
2026-09-04,16936.8,True
2026-09-05,17002.3,True
2026-09-06,16928.1,True
2026-09-07,16774.0,True
2026-09-08,16285.0,True
2026-09-09,16282.5,True
2026-09-09,16282.5,True
2026-09-09,16282.5,True
2026-09-10,16281.0,True
2026-09-10,16281.0,True
2026-09-11,16298.3,True
2026-09-11,16298.3,True
2026-09-12,16453.6,True
2026-09-13,16529.3,True
2026-09-14,16525.0,True
2026-09-15,15963.3,True
2026-09-16,16446.2,True
2026-09-17,16282.0,True
2026-09-18,16377.5,True
2026-09-19,16238.6,True
2026-09-20,16465.7,True
